ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
RCSL3,4.48,-11.31,-14.82,4.676,0.00%,2.891,-31.13,-30.15,-3.35,-30.15,-41.12,-15.51%,-46.16%,0.78,-10.02%,130.97%,-11.31,-9621000.00,0.00,6.86%
MTIG3,5.21,-11.22,-81.36,12.686,0.00%,8.360,-11.54,-21.36,-9.97,-22.62,-24.76,-59.38%,-113.09%,0.27,-47.80%,725.28%,-11.22,-7835380.00,-4.95,-26.54%
ZAMP3,2.51,-11.17,0.62,0.236,0.00%,0.219,3.14,12.51,-0.66,19.20,2.89,1.88%,-2.11%,1.29,2.41%,-5.57%,-11.17,1642390000.00,0.93,18.23%
CPNY3,2.35,-11.0,0.42,0.232,0.00%,0.054,0.20,1.21,-0.13,4.21,4.21,19.13%,-2.11%,2.26,5.48%,-3.86%,-11.0,398830000.00,2.33,20.10%
ALLL3,3.97,-10.58,0.49,0.563,0.00%,0.148,1.29,1.44,-0.32,3.86,1.95,38.96%,-5.26%,1.96,12.29%,-4.65%,-10.58,14987400000.00,1.30,17.23%
VVEO3,2.00,-10.56,0.21,0.056,6.83%,0.062,0.20,2.30,-0.48,9.79,4.75,2.42%,-0.53%,2.21,4.07%,-2.03%,-10.56,3014820000.00,1.29,22.26%
ECPR4,90.74,-9.92,1.22,0.000,0.00%,0.624,175.57,-82.97,-1.29,-82.60,-82.72,0.00%,0.00%,2.97,-0.75%,-12.28%,-9.92,141476000.00,0.00,0.00%
ECPR3,90.25,-9.87,1.21,0.000,0.00%,0.621,174.62,-82.52,-1.29,-82.15,-82.27,0.00%,0.00%,2.97,-0.75%,-12.28%,-9.87,141476000.00,0.00,0.00%
SIMH3,3.55,-9.39,0.93,0.080,0.00%,0.038,0.33,0.53,-0.07,7.60,4.61,15.03%,-0.89%,1.50,9.68%,-9.95%,-9.39,3319230000.00,16.66,46.21%
RPAD5,8.89,-9.3,0.75,0.000,6.87%,0.738,6.04,-277.18,6.37,-230.26,-230.26,0.00%,0.00%,26.15,-0.30%,-8.03%,-9.3,1008340000.00,0.00,0.00%
ALLL4,3.32,-8.85,0.41,0.470,0.00%,0.124,1.08,1.21,-0.27,3.62,1.83,38.96%,-5.26%,1.96,12.29%,-4.65%,-8.85,14987400000.00,1.30,17.23%
TERI3,64.28,-8.83,0.29,0.107,0.00%,0.081,7.90,7.20,-0.26,39.56,39.56,1.49%,-1.91%,1.03,1.25%,-3.27%,-8.83,3641000000.00,1.43,7.94%
MRVE3,5.60,-8.8,0.48,0.368,0.00%,0.115,0.68,4.49,-0.42,16.02,12.90,8.19%,-4.11%,1.61,2.68%,-5.45%,-8.8,6569830000.00,1.28,6.51%
ALLL11,16.50,-8.79,0.41,0.468,0.00%,0.123,1.07,1.20,-0.27,3.62,1.83,38.96%,-5.26%,1.96,12.29%,-4.65%,-8.79,14987400000.00,1.30,17.23%
SEMP3,16.86,-8.12,1.36,15.081,0.00%,1.201,15.67,-4.42,15.67,-4.07,-4.07,-340.98%,-185.82%,1.64,-30.21%,-16.81%,-8.12,118441000.00,0.00,-10.37%
CSNA3,8.36,-8.03,0.83,0.254,15.15%,0.114,1.26,1.96,-0.24,7.63,4.62,12.98%,-1.38%,1.34,8.08%,-10.28%,-8.03,13418300000.00,3.85,9.60%
CASH3,2.83,-7.92,0.77,0.714,174.21%,0.524,1.15,-3.07,1.59,-0.07,-0.08,-23.24%,-10.47%,3.49,-36.40%,-9.73%,-7.92,319905000.00,0.00,15.65%
