ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
CGAS5,112.65,5.91,17.32,1.005,10.74%,0.996,546.25,5.53,-1.76,7.59,6.21,18.18%,17.00%,1.00,23.96%,292.91%,5.91,861744000.00,9.40,17.30%
PINE3,6.00,5.92,1.17,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,19.75%,5.92,1079860000.00,0.00,55.65%
TECN3,5.29,5.93,0.88,1.008,3.00%,0.548,1.07,5.90,2.07,5.52,6.60,17.08%,17.00%,4.94,12.22%,14.89%,5.93,396632000.00,0.23,7.10%
GGBR4,17.88,5.95,0.73,0.569,5.97%,0.490,1.97,4.74,7.71,5.38,3.86,12.00%,9.62%,2.79,12.25%,12.21%,5.95,51919400000.00,0.21,16.55%
CSRN5,21.20,5.95,2.09,0.998,13.09%,0.623,57.47,3.84,-1.32,6.28,5.31,25.95%,16.77%,1.05,18.36%,35.17%,5.95,1703000000.00,1.55,9.35%
HBOR3,2.28,5.95,0.22,0.234,3.99%,0.048,0.14,1.76,-1.87,11.21,9.64,13.35%,13.69%,2.35,2.96%,3.63%,5.95,1413800000.00,1.48,-0.12%
BMEB4,29.45,5.96,1.85,0.000,4.48%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,30.96%,5.96,1672510000.00,0.00,19.43%
ELPL5,30.50,5.97,1.95,0.314,0.00%,0.211,-2.87,1.83,-0.32,4.05,3.14,17.11%,5.26%,0.76,12.72%,32.66%,5.97,3091000000.00,2.43,6.98%
MTRE3,4.11,5.99,0.45,0.443,14.28%,0.211,0.44,14.96,0.78,28.79,20.15,2.96%,7.98%,2.61,1.59%,7.43%,5.99,976796000.00,0.60,33.35%
ALLL11,16.50,6.03,0.38,0.523,0.00%,0.121,0.99,1.54,-0.27,4.63,2.96,34.07%,8.71%,2.13,9.46%,6.33%,6.03,16050700000.00,1.24,14.81%
BRSR3,12.48,6.04,0.52,0.000,4.80%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,8.62%,6.04,9798830000.00,0.00,4.70%
ALLL4,3.32,6.07,0.38,0.526,0.00%,0.122,0.99,1.54,-0.27,4.64,2.96,34.07%,8.71%,2.13,9.46%,6.33%,6.07,16050700000.00,1.24,14.81%
TIET11,17.44,6.09,3.13,3.010,0.00%,0.638,1434.52,5.02,-1.05,8.78,6.62,59.93%,49.91%,1.00,13.97%,51.45%,6.09,2222740000.00,2.67,7.76%
TIET3,3.49,6.09,3.13,3.012,0.00%,0.638,1435.34,5.03,-1.05,8.78,6.63,59.93%,49.91%,1.00,13.97%,51.45%,6.09,2222740000.00,2.67,7.76%
TIET4,3.51,6.13,3.15,3.029,0.00%,0.642,1443.57,5.06,-1.05,8.81,6.65,59.93%,49.91%,1.00,13.97%,51.45%,6.13,2222740000.00,2.67,7.76%
RANI3,8.79,6.18,1.60,1.342,8.50%,0.606,2.51,5.20,-2.09,7.70,5.82,25.79%,21.71%,3.71,14.73%,25.84%,6.18,1320340000.00,1.23,16.04%
